Review,hasil_akhir,Sentimen
pembaruan kl ini bnr2 epik semoga pembaruan kedpnny tmbh bagus lg.,baru kalau benar epik moga baru depan tambah bagus lagi,positif
bisakah untuk menambahkan bahasa Indonesia,bisa tambah bahasa indonesia,negatif
aku kasi bintang 4 dulu soalnya permainan ini gk ad fitur bahasa Indonesia. Tolong tambahin fitur bahasa Indonesia nya agar mempermudah pemain-pemain yang gak ngerti bahasa Inggris,saya kasih bintang dulu soal main tidak ada fitur bahasa indonesia tambah fitur bahasa indonesia nya mudah main main tidak ngerti bahasa inggris,negatif
"walau pas awal banyak bug, setelah masuk 2.0 udah berasa kaya beda permainan. bagus banget gila",pas awal banyak bug masuk sudah asa seperti beda main bagus banget gila,positif
permainan nya sangat bagus tapi tolong di sediakan bahasa Indonesia saya hanya bisa melewati cerita karena tidak paham artinya,main nya sangat bagus sedia bahasa indonesia lewat cerita paham arti,positif
cerita dah bagus tapi kurang lama,cerita sudah bagus kurang lama,positif
Semoga dapat Verina & Encore,moga verina encore,positif
"Sejauh aku pernah memainkan permainan gacha lain menurutku wuthering waves adalah salah satu permainan gacha yang paling cepat berkembang, awal rilisnya mungkin ada beberapa kesalahan. tapi dalam waktu 10 bulan permainan ini sudah berkembang dengan sangat baik dan sekarang menjadi puncak🔥. semua aspek mulai dari karakter,pengalaman eksplorasi,cerita dan banyak lagi sudah sangat bagus. semoga kau bisa berkembang terus ya kuro🔥🔥",jauh saya pernah main main gacha turut wuthering waves salah satu main gacha paling cepat kembang awal rilis mungkin beberapa salah waktu bulan main kembang sangat baik sekarang jadi puncak semua aspek mulai karakter alam eksplorasi cerita banyak sangat bagus moga kamu kembang terus kuro games,positif
"Pindah dari genshin ke wuwa, gila bagus bgt, desain karakter nya bgus bagus, dunia terbuka nya baguss parahh",pindah genshin wuthering waves gila bagus begitu desain karakter nya bgus bagus dunia buka nya baguss parahh,positif
semok semok dah bagus kapan kapan kasih fitur buat anak,semok semok sudah bagus kapan kapan kasih fitur buat anak,negatif
"permainan nya bagus bangett cerita nya lumayan seru penuh aksi,dan drama, bahkan di beberapa cerita bisa menyentuh hati saya dengan beberapa adegan yang cukup sedih,saya harap di kedepannya cerita nya makin bagus Bintang lima untuk ini permainan,dan satu lagi tolong tambahkan bahasa Indonesia agar cerita nya dapat lebih saya paham lebih dalam. (kerja bagus)",main nya bagus banget cerita nya lumayan seru penuh aksi drama bahkan beberapa cerita sentuh hati beberapa adegan cukup sedih harap depan cerita nya makin bagus bintang lima main satu tambah bahasa indonesia cerita nya lebih paham lebih kerja bagus,positif
"Banyak yg udah mau di sensor, jadi gk menarik lagi😹",banyak yang sudah mau sensor jadi tidak tarik,negatif
baik ,baik,positif
bagus ketimbang genshin impact,bagus ketimbang genshin impact,positif
tolong tambahkan terjemahkan Indonesia nya pengembang. keseluruhan oke bagus,tambah terjemah indonesia nya kembang seluruh oke bagus,negatif
kurang optimal untuk versi seluler.,kurang optimal versi seluler,negatif
"permainannya bagus, ceritanya juga, semua bagus lah pokoknya",main bagus cerita semua bagus lah pokok,positif
tolong untuk lebih memperbaiki pernofa permainan karna saya sering keluar dari permainan secara tiba tiba dan terlebih lagi saya baru 4 hari bermain dan ingin mendapat kan b5 karakter terbatas tapi malah di kasih rate off padahal ini pengalaman pertama saya bermain permainan ini tapi malah di kasih kesan bermain yang sangat buruk,lebih baik performa main karena sering keluar main tiba tiba lebih baru hari main dapat kan b karakter batas malah kasih persentase off padahal alam pertama main main malah kasih kesan main sangat buruk,negatif
"bagus keseluruhan hanya aja kok jadi susah nyari stat echo yang bagus, nya kenapa beda dari yang dulu. itu aja. pribadi karena susah nyari pengalaman echo nya",bagus seluruh saja kok jadi susah cari statistik echo bagus nya beda dulu saja pribadi susah cari alam echo nya,negatif
oke,oke,positif
"tidak banyak berkomentar intinya permainan ini bagus. Kekurangannya permainannya terlalu berat dibandingkan permainan lainnya seperti Genshin dan pembaruan nya terlalu besar(mengunduh pembaruan nya seperti mengunduh datanya kembali), semoga segera diperbaiki. Terima kasih permainan baik.",banyak komentar inti main bagus kurang main terlalu berat banding main lain genshin baru nya terlalu besar unduh baru nya unduh data moga segera baik terima kasih main baik,positif
"permainan bagus,ramah gratis untuk bermain, selalu mendengarkan pemain, terima kasih sudah membuat salah satu permainan yg merubah kehidupanku..",main bagus ramah gratis main selalu dengar main terima kasih buat salah satu main yang ubah hidup,positif
kembalikan Cantarela aku udah isi ulang banyak banyak malah di nerf jadi rugi aku tau di nerf gak usah isi ulang aku😡😡😡,kembali cantarela saya sudah isi ulang banyak banyak malah nerf jadi rugi saya tahu nerf tidak perlu isi ulang saya,negatif
"mantap, kutunggu pembaruan pembaruan yang bikin tidak bisa berkata-kata dan GK nyesel unduh dan mainin ni permainan Kuro, dan untuk desain karakter bisalah jiplakan dikit dari pendahulunya (inisial PGR) :)",mantap tunggu baru baru bikin kata kata tidak sesal unduh main ini main kuro games desain karakter bisa jiplak dikit dahulu inisial pgr,positif
"permainannya asik, ceritanya seru, dunianya juga indah banget, permainan nya juga asik bisa Parry, Dodge. Plus grafiknya wow banget, sangat memanjakan mata, gak nyesel iseng nyoba-nyoba permainan ini, ternyata seru wkwk XD",main asyik cerita seru dunia indah banget main nya asyik parry dodge plus grafik wow banget sangat manja mata tidak sesal iseng nyoba nyoba main nyata seru wkwk xd,positif
"gacor parah pengembang terbaik, kuro lebih dengerin suara rakyat daripada pemerintah, sukses terus wuwa, ku pantau sampe 2035 cemas 🫵",gacor parah kembang baik kuro games lebih dengar suara rakyat perintah sukses terus wuthering waves ku pantau sampai cemas,positif
permainan nya sangat seru dan ramah bagi f2p,main nya sangat seru ramah f bapak,positif
banyak mommy ku kasih bintang 5,banyak mama ku kasih bintang,positif
"desain karakter nya niat bgt ampe ekspresif bgt ini permainan bagus bgt sih, kalau bisa tambahin pemandangan romantis lagi ya kuro:)",desain karakter nya niat begitu sampai ekspresif begitu main bagus begitu sih kalau tambah pandang romantis kuro games,positif
permainan baik dan gak pelit bansos,main baik tidak pelit bansos,positif
sering tutup paksa😓😓,sering tutup paksa,negatif
bansos🥲,bansos,negatif
"Nggak usah diragukan lagi, kualitasnya udah bagus banget. Dari segi aspek lain juga hampir nggak ada yang bisa dikomplain. Visual enjoyable, permainan fluid, audio desain juga belend banget. Satu-satunya minus paling di sisi perangkat compatibility. Soalnya nggak semua perangkat, terutama yang seluler, bisa handle Wuthering Waves dengan lancar. Jadi agak limiting buat pemain yang spek-nya menengah atau low.",perlu ragu kualitas sudah bagus banget segi aspek hampir komplain visual enjoyable main fluid audio desain belend banget satu satu minus paling sisi perangkat compatibility soal semua perangkat utama seluler handle wuthering waves lancar jadi limiting buat main spek nya tengah low,positif
mantab,mantap,positif
permainan baru masih baik pengembang nyaaa... pertahankan,main baru baik kembang nyaaa tahan,positif
"permainan baik, sangat puas dengan permainan ini, pertahankan ya kuro.. ☺",main baik sangat puas main tahan kuro games,positif
permainan Bagus😎👍genshin killer👎,main bagus genshin killer,positif
pengen ada bahasa Indonesia Nya hehe,ingin bahasa indonesia nya hehe,negatif
mantep bngt,mantep banget,positif
mantap,mantap,positif
"performanya ga stabil, pengaturan grafis sudah halus, udah pake Cooler pendingin juga tapi permainan nya masih sering penurunan bingkai bahkan hampir tidak permainanable",performa tidak stabil atur grafis halus sudah pakai cooler dingin main nya sering turun bingkai bahkan hampir permainanable,negatif
bagus grafiknya ngeri,bagus grafik ngeri,positif
Keren bgt permainannya! alur ceritanya juga gokil keren bgt. Grafisnya jg cakep bagettt😭 Worth to permainan,keren begitu main alur cerita gokil keren begitu grafis juga cakep bagettt worth to main,positif
"permainan yang sangat bagus, karakter juga bagus",main sangat bagus karakter bagus,positif
permainan baik,main baik,positif
Tolong tambahkan bahasa indonesia... nanti diganti jadi bintang 5,tambah bahasa indonesia ganti jadi bintang,negatif
"permainan nya emang seru tapi, buat gacha karakter hard banget",main nya memang seru buat gacha karakter hard banget,positif
#kapan ada bahasa Indonesia kurooo,kapan bahasa indonesia kurooo,negatif
